Date_Last_Researched,Latitude,Longitude,Country,Capacity_(MW),Technology_Type,Status,Start_year,Retired_year,Subregion,Region,GEM_location_ID,GEM_phase_ID,PV_value
9/25/2023,27.752,-8.154,Algeria,9,Assumed PV,operating,2015,,Northern Africa,Africa,L827605,G831126,5.279
9/25/2023,29.781,32.154,Egypt,6,Assumed PV,operating,2019,,Northern Africa,Africa,L827624,G831152,5.21
9/25/2023,25.0626,34.8734,Egypt,5,Assumed PV,operating,2015,,Northern Africa,Africa,L827630,G831158,5.347
9/25/2023,27.9335,34.2986,Egypt,5,Assumed PV,operating,2019,,Northern Africa,Africa,L827632,G831160,5.422
9/25/2023,31.389,10.042,Tunisia,4.8,Assumed PV,operating,2019,,Northern Africa,Africa,L827746,G831297,5.169
7/5/2023,-12.779,15.749,Angola,8,PV,construction,,,Sub-Saharan Africa,Africa,L811548,G814050,4.888
7/5/2023,-12.8833,15.8167,Angola,4,PV,announced,,,Sub-Saharan Africa,Africa,L811550,G814052,4.89
7/5/2023,-12.1732,15.1127,Angola,10,PV,pre-construction,,,Sub-Saharan Africa,Africa,L811552,G814054,4.879
7/5/2023,-12.838,15.5933,Angola,5,PV,announced,,,Sub-Saharan Africa,Africa,L811551,G814053,4.899
7/5/2023,-9.4934,20.3575,Angola,4,PV,announced,,,Sub-Saharan Africa,Africa,L811553,G814055,4.447
7/5/2023,-13.8766,15.8404,Angola,6,PV,announced,,,Sub-Saharan Africa,Africa,L811554,G814056,5.016
7/5/2023,-12.391,16.9342,Angola,14.7,PV,construction,,,Sub-Saharan Africa,Africa,L811555,G814057,4.906
7/5/2023,-7.3887,20.8049,Angola,7,PV,announced,,,Sub-Saharan Africa,Africa,L811556,G814058,4.24
7/5/2023,-12.9267,14.759,Angola,10,PV,pre-construction,,,Sub-Saharan Africa,Africa,L811557,G814059,4.829
7/5/2023,-13.4643,15.8592,Angola,5,PV,announced,,,Sub-Saharan Africa,Africa,L811558,G814060,5.007
7/5/2023,-12.4442,16.9142,Angola,11,PV,announced,,,Sub-Saharan Africa,Africa,L811559,G814061,4.9
7/5/2023,-14.759,12.9267,Angola,10,PV,pre-construction,,,Sub-Saharan Africa,Africa,L811560,G814062,5.096
7/5/2023,-14.998,13.3956,Angola,10,PV,construction,2023,,Sub-Saharan Africa,Africa,L800199,G814063,5.213
7/5/2023,-8.4395,20.7014,Angola,7.2,PV,construction,,,Sub-Saharan Africa,Africa,L811561,G814064,4.347
7/5/2023,-14.7427,15.0552,Angola,10,PV,pre-construction,,,Sub-Saharan Africa,Africa,L811562,G814065,5.157
7/5/2023,-15.7898,17.2966,Angola,10,PV,pre-construction,,,Sub-Saharan Africa,Africa,L811563,G814066,5.078
7/5/2023,-17.0917,15.7439,Angola,2,PV,announced,,,Sub-Saharan Africa,Africa,L811564,G814067,5.253
7/5/2023,-14.5518,14.7876,Angola,10,PV,pre-construction,,,Sub-Saharan Africa,Africa,L811565,G814069,5.146
7/5/2023,-16.0509,15.2054,Angola,10,PV,pre-construction,,,Sub-Saharan Africa,Africa,L811566,G814070,5.178
9/25/2023,14.364,0.078,Burkina Faso,14.9,Assumed PV,operating,2018,,Sub-Saharan Africa,Africa,L827609,G831131,4.72
7/10/2023,12.4245,-1.4835,Burkina Faso,13,PV,operating,2017,,Sub-Saharan Africa,Africa,L800356,G814077,4.605
9/25/2023,-3.1333,29.3624,Burundi,8,Assumed PV,operating,2021,,Sub-Saharan Africa,Africa,L827613,G831135,4.27
9/25/2023,-3.376,29.9869,Burundi,6,Assumed PV,operating,2021,,Sub-Saharan Africa,Africa,L827614,G831136,4.273
7/11/2023,9.9303,13.9458,Cameroon,15,PV,construction,,,Sub-Saharan Africa,Africa,L811571,G814079,4.656
7/11/2023,10.6083,14.3217,Cameroon,15,PV,construction,,,Sub-Saharan Africa,Africa,L811572,G814080,4.708
8/22/2023,5.0727,18.1718,Central African Republic,15,PV,announced,,,Sub-Saharan Africa,Africa,L800102,G831138,4.38
8/22/2023,4.3489,18.5275,Central African Republic,15,PV,operating,2023,,Sub-Saharan Africa,Africa,L827616,G831139,4.251
7/31/2023,12.1349,15.0564,Chad,8.5,PV,construction,,,Sub-Saharan Africa,Africa,L827617,G831141,4.692
8/7/2023,-12.2313,44.4482,Comoros,2.5,PV,shelved,,,Sub-Saharan Africa,Africa,L827618,G831142,3.904
8/7/2023,-12.2313,44.4482,Comoros,2,PV,shelved,,,Sub-Saharan Africa,Africa,L827618,G831143,3.904
8/7/2023,-11.7048,43.3292,Comoros,2.8,PV,shelved,,,Sub-Saharan Africa,Africa,L827618,G831144,4.001
8/7/2023,-11.7048,43.3292,Comoros,2.8,PV,shelved,,,Sub-Saharan Africa,Africa,L827618,G831145,4.001
9/25/2023,15.517,37.515,Eritrea,6,Assumed PV,operating,2018,,Sub-Saharan Africa,Africa,L827636,G831164,4.963
7/18/2023,5.6221,-0.176,Ghana,5,PV,operating,,,Sub-Saharan Africa,Africa,L827637,G831165,4.004
9/25/2023,10.1801,-2.534,Ghana,13,Assumed PV,operating,2021,,Sub-Saharan Africa,Africa,L827640,G831169,4.4
9/25/2023,10.666,-2.901,Ghana,6.5,Assumed PV,operating,2020,,Sub-Saharan Africa,Africa,L827641,G831170,4.439
8/21/2023,12.1857,-14.6556,Guinea-Bissau,15,PV,announced,,,Sub-Saharan Africa,Africa,L827645,G831174,4.491
8/21/2023,12.2696,-16.1647,Guinea-Bissau,6,PV,announced,,,Sub-Saharan Africa,Africa,L827647,G831176,4.489
