Date_Last_Researched,Latitude,Longitude,Country,Capacity_(MW),Technology_Type,Status,Start_year,Retired_year,Subregion,Region,GEM_location_ID,GEM_phase_ID,PV_value
1/23/2023,52.1992,0.1427,United Kingdom,1,PV,operating,2020,,Northern Europe,Europe,L825027,G828307,2.825
1/23/2023,54.3402,-2.7339,United Kingdom,1,PV,operating,2020,,Northern Europe,Europe,L825028,G828308,2.529
1/23/2023,50.2832,-3.7785,United Kingdom,1,PV,operating,2021,,Northern Europe,Europe,L825029,G828309,3.032
1/23/2023,51.6513,0.621,United Kingdom,2,PV,operating,2019,,Northern Europe,Europe,L825030,G828310,2.924
1/23/2023,56.3333,-3.001,United Kingdom,1,PV,operating,2020,,Northern Europe,Europe,L825031,G828311,2.606
1/23/2023,51.4352,-2.4815,United Kingdom,2,PV,operating,2019,,Northern Europe,Europe,L825032,G828312,2.823
1/23/2023,53.4151,-2.1456,United Kingdom,2,PV,operating,2020,,Northern Europe,Europe,L825033,G828313,2.507
1/23/2023,51.5539,-1.7869,United Kingdom,2,PV,operating,,,Northern Europe,Europe,L825034,G828314,2.805
1/23/2023,53.6042,-2.8409,United Kingdom,1,PV,operating,,,Northern Europe,Europe,L825035,G828315,2.725
1/23/2023,52.5113,1.0172,United Kingdom,2,PV,operating,2021,,Northern Europe,Europe,L825036,G828316,2.832
2/13/2023,37.3123,13.5747,Italy,114.2,PV,operating,,,Southern Europe,Europe,L822793,G825859,4.488
2/13/2023,44.835,8.745,Italy,134,PV,operating,,,Southern Europe,Europe,L822803,G825869,3.833
2/13/2023,43.4801,13.2188,Italy,242.7,PV,operating,,,Southern Europe,Europe,L822836,G825902,3.798
2/13/2023,45.7371,7.3197,Italy,23.6,PV,operating,,,Southern Europe,Europe,L822841,G825907,3.936
2/13/2023,43.5172,11.7639,Italy,119.6,PV,operating,,,Southern Europe,Europe,L822857,G825923,3.864
2/13/2023,42.8834,13.5396,Italy,112.3,PV,operating,,,Southern Europe,Europe,L822863,G825929,3.833
2/13/2023,44.826,8.2027,Italy,88.7,PV,operating,,,Southern Europe,Europe,L822870,G825936,3.853
2/13/2023,40.9965,15.1406,Italy,66.6,PV,operating,,,Southern Europe,Europe,L822876,G825942,3.994
2/13/2023,41.1258,16.862,Italy,446.9,PV,operating,,,Southern Europe,Europe,L822881,G825947,4.127
2/13/2023,41.1802,16.1466,Italy,148,PV,operating,,,Southern Europe,Europe,L822882,G825948,4.125
2/13/2023,46.2805,12.0789,Italy,43.7,PV,operating,,,Southern Europe,Europe,L822890,G825956,2.855
2/13/2023,41.2476,14.7057,Italy,53.9,PV,operating,,,Southern Europe,Europe,L822894,G825960,3.958
2/13/2023,45.7567,9.7542,Italy,304.3,PV,operating,,,Southern Europe,Europe,L822898,G825964,3.673
2/13/2023,45.567,8.0869,Italy,66.8,PV,operating,,,Southern Europe,Europe,L822902,G825968,3.821
2/13/2023,44.4939,11.3426,Italy,320.4,PV,operating,,,Southern Europe,Europe,L822907,G825973,3.807
2/13/2023,46.656,11.2302,Italy,218.8,PV,operating,,,Southern Europe,Europe,L822909,G825975,4.01
2/13/2023,45.7796,10.4259,Italy,430.9,PV,operating,,,Southern Europe,Europe,L822916,G825982,3.34
2/13/2023,40.6359,17.6884,Italy,325,PV,operating,,,Southern Europe,Europe,L822920,G825986,4.198
2/13/2023,39.2172,9.1133,Italy,62.6,PV,operating,,,Southern Europe,Europe,L822931,G825997,4.357
2/13/2023,37.4899,14.0632,Italy,56.5,PV,operating,,,Southern Europe,Europe,L822943,G826009,4.446
2/13/2023,41.7173,14.8262,Italy,84.9,PV,operating,,,Southern Europe,Europe,L822960,G826026,3.964
2/13/2023,41.2035,14.1169,Italy,153.2,PV,operating,,,Southern Europe,Europe,L822992,G826058,4.103
2/13/2023,37.5024,15.0874,Italy,161,PV,operating,,,Southern Europe,Europe,L823035,G826101,4.427
2/13/2023,38.83,16.4316,Italy,71.7,PV,operating,,,Southern Europe,Europe,L823041,G826107,4.173
2/13/2023,42.1027,14.4159,Italy,188.3,PV,operating,,,Southern Europe,Europe,L823069,G826135,3.951
2/13/2023,45.9395,9.1494,Italy,95.5,PV,operating,,,Southern Europe,Europe,L823102,G826168,3.394
2/13/2023,39.5967,16.3331,Italy,172.8,PV,operating,,,Southern Europe,Europe,L823116,G826182,4.259
2/13/2023,45.2209,10.037,Italy,215.3,PV,operating,,,Southern Europe,Europe,L823120,G826186,3.811
2/13/2023,39.1874,16.8783,Italy,29.6,PV,operating,,,Southern Europe,Europe,L823123,G826189,4.032
2/13/2023,44.4581,7.5581,Italy,480.2,PV,operating,,,Southern Europe,Europe,L823125,G826191,4.018
2/13/2023,37.5668,14.2808,Italy,39.6,PV,operating,,,Southern Europe,Europe,L823144,G826210,4.337
2/13/2023,43.0923,13.6388,Italy,88.1,PV,operating,,,Southern Europe,Europe,L823152,G826218,3.901
2/13/2023,44.7668,11.8279,Italy,142.3,PV,operating,,,Southern Europe,Europe,L823154,G826220,3.767
2/13/2023,43.7699,11.2556,Italy,107.4,PV,operating,,,Southern Europe,Europe,L823166,G826232,3.848
2/13/2023,41.5028,15.4529,Italy,282.5,PV,operating,,,Southern Europe,Europe,L823174,G826240,4.066
