Date_Last_Researched,Latitude,Longitude,Country,Capacity_(MW),Installation_Type,Status,Start_year,Retired_year,Subregion,Region,GEM_location_ID,GEM_phase_ID,PV_value
8/26/2022,16.0909,-22.8125,Cabo Verde,2.55,onshore,operating,2012,,Sub-Saharan Africa,Africa,L916604,G920632,397.73038
8/26/2022,16.7249,-22.9278,Cabo Verde,7.65,onshore,operating,2012,,Sub-Saharan Africa,Africa,L916605,G920633,382.6049
8/26/2022,15.0855,-23.6245,Cabo Verde,9.35,onshore,operating,2011,,Sub-Saharan Africa,Africa,L916606,G920634,64.45297
8/26/2022,16.8289,-24.9766,Cabo Verde,5.95,onshore,operating,2011,,Sub-Saharan Africa,Africa,L916607,G920635,687.0701
8/28/2023,-20.0668,57.6506,Mauritius,9.4,onshore,operating,2016,,Sub-Saharan Africa,Africa,L900064,G900084,320.89853
6/23/2022,-45.7506,-67.6634,Argentina,6.3,onshore,operating,2011,,Latin America and the Caribbean,South America,L905332,G920239,1872.8561
6/23/2022,-17.6501,-65.3659,Bolivia,3,onshore,operating,2011,,Latin America and the Caribbean,South America,L905019,G920248,733.50946
8/22/2022,-14.4128,-42.6599,Brazil,6,onshore,operating,2019,,Latin America and the Caribbean,South America,L916408,G920250,707.83124
8/22/2022,-26.5839,-51.6876,Brazil,9,onshore,operating,2006,,Latin America and the Caribbean,South America,L916409,G920251,468.27225
8/22/2022,-6.5475,-34.968,Brazil,4.8,onshore,operating,2009,,Latin America and the Caribbean,South America,L916411,G920253,366.66666
8/22/2022,-14.1852,-42.5911,Brazil,8,onshore,operating,2014,,Latin America and the Caribbean,South America,L916413,G920255,824.25287
8/22/2022,-13.8948,-42.7027,Brazil,8.1,onshore,operating,2022,,Latin America and the Caribbean,South America,L916415,G920257,757.4705
8/22/2022,-14.4319,-42.6919,Brazil,4,onshore,operating,2019,,Latin America and the Caribbean,South America,L916416,G920258,652.49585
8/22/2022,-6.5474,-34.9737,Brazil,4.8,onshore,operating,2009,,Latin America and the Caribbean,South America,L916418,G920270,353.5531
8/22/2022,-33.1762,-52.9207,Brazil,9,onshore,operating,2017,,Latin America and the Caribbean,South America,L916419,G920271,382.31055
8/22/2022,-33.0985,-52.8619,Brazil,9,onshore,operating,2017,,Latin America and the Caribbean,South America,L916420,G920272,399.24863
8/22/2022,-33.0871,-52.8957,Brazil,9,onshore,operating,2017,,Latin America and the Caribbean,South America,L916420,G920273,333.5251
8/22/2022,-8.6674,-41.6308,Brazil,9,onshore,operating,2018,,Latin America and the Caribbean,South America,L916421,G920274,444.5381
8/22/2022,-14.1082,-42.4746,Brazil,8.5,onshore,operating,2015,,Latin America and the Caribbean,South America,L916425,G920278,342.1394
8/22/2022,-8.3344,-35.0053,Brazil,2,onshore,operating,2012,,Latin America and the Caribbean,South America,L916427,G920280,80.28118
8/22/2022,-6.5576,-34.9721,Brazil,4.8,onshore,operating,2009,,Latin America and the Caribbean,South America,L916428,G920281,327.15063
8/22/2022,-6.556,-34.969,Brazil,4.8,onshore,operating,2009,,Latin America and the Caribbean,South America,L916429,G920282,327.15063
8/22/2022,-26.5889,-51.7427,Brazil,6,onshore,operating,2011,,Latin America and the Caribbean,South America,L916430,G920283,448.9081
